gen	best-score	best-plastic	best-function	mean-plastic
0	0.000000954	20	1.0	1.000000
1	0.000001907	19	1.0	0.993500
2	0.000003815	18	1.0	0.990750
3	0.000003815	18	1.0	0.983500
4	0.000003815	18	1.0	0.967000
5	0.000007629	17	1.0	0.935500
6	0.000007629	17	1.0	0.918500
7	0.000015259	16	1.0	0.892500
8	0.000015259	16	1.0	0.888000
9	0.000030518	15	1.0	0.877250
10	0.000030518	15	1.0	0.857500
11	0.000122070	13	1.0	0.833250
12	0.000122070	13	1.0	0.816750
13	0.000122070	13	1.0	0.787500
14	0.000244141	12	1.0	0.758250
15	0.000244141	12	1.0	0.730000
16	0.000244141	12	1.0	0.717250
17	0.000244141	12	1.0	0.688750
18	0.000244141	12	1.0	0.678000
19	0.000244141	12	1.0	0.657500
20	0.000488281	11	1.0	0.637000
21	0.000976563	10	1.0	0.624250
22	0.001953125	9	1.0	0.604000
23	0.001953125	9	1.0	0.591250
24	0.001953125	9	1.0	0.583000
25	0.001953125	9	1.0	0.568000
26	0.001953125	9	1.0	0.539250
27	0.001953125	9	1.0	0.528000
28	0.001953125	9	1.0	0.507250
29	0.003906250	8	1.0	0.484000
30	0.003906250	8	1.0	0.471750
31	0.003906250	8	1.0	0.446250
32	0.007812500	7	1.0	0.440000
33	0.007812500	7	1.0	0.432250
34	0.007812500	7	1.0	0.416500
35	0.007812500	7	1.0	0.397500
36	0.015625000	6	1.0	0.392000
37	0.015625000	6	1.0	0.385000
38	0.015625000	6	1.0	0.372500
39	0.015625000	6	1.0	0.350250
40	0.015625000	6	1.0	0.343250
41	0.015625000	6	1.0	0.339000
42	0.031250000	5	1.0	0.327000
43	0.031250000	5	1.0	0.307000
44	0.031250000	5	1.0	0.297500
45	0.031250000	5	1.0	0.293750
46	0.031250000	5	1.0	0.287500
47	0.062500000	4	1.0	0.278750
48	0.062500000	4	1.0	0.257750
49	0.062500000	4	1.0	0.249000
50	0.062500000	4	1.0	0.244500
51	0.062500000	4	1.0	0.240250
52	0.125000000	3	1.0	0.230250
53	0.125000000	3	1.0	0.217000
54	0.125000000	3	1.0	0.201000
55	0.125000000	3	1.0	0.198500
56	0.125000000	3	1.0	0.194500
57	0.125000000	3	1.0	0.187000
58	0.250000000	2	1.0	0.177500
59	0.250000000	2	1.0	0.162750
60	0.250000000	2	1.0	0.151500
61	0.500000000	1	1.0	0.149000
62	0.500000000	1	1.0	0.146250
63	0.500000000	1	1.0	0.140250
64	0.500000000	1	1.0	0.130000
65	0.500000000	1	1.0	0.116000
66	0.500000000	1	1.0	0.098750
67	0.500000000	1	1.0	0.094500
68	0.500000000	1	1.0	0.083500
69	0.500000000	1	1.0	0.071750
70	1.000000000	0	1.0	0.054500
71	1.000000000	0	1.0	0.052500
72	1.000000000	0	1.0	0.054500
73	1.000000000	0	1.0	0.051250
74	1.000000000	0	1.0	0.050250
75	1.000000000	0	1.0	0.048500
76	1.000000000	0	1.0	0.046250
77	1.000000000	0	1.0	0.039750
78	1.000000000	0	1.0	0.029250
79	1.000000000	0	1.0	0.009500
80	1.000000000	0	1.0	0.003750
81	1.000000000	0	1.0	0.003750
82	1.000000000	0	1.0	0.003000
83	1.000000000	0	1.0	0.005750
84	1.000000000	0	1.0	0.003250
85	1.000000000	0	1.0	0.003250
86	1.000000000	0	1.0	0.001500
87	1.000000000	0	1.0	0.003750
88	1.000000000	0	1.0	0.003000
89	1.000000000	0	1.0	0.004750
90	1.000000000	0	1.0	0.004750
91	1.000000000	0	1.0	0.003750
92	1.000000000	0	1.0	0.003500
93	1.000000000	0	1.0	0.003000
94	1.000000000	0	1.0	0.004000
95	1.000000000	0	1.0	0.003500
96	1.000000000	0	1.0	0.003000
97	1.000000000	0	1.0	0.003250
98	1.000000000	0	1.0	0.002500
99	1.000000000	0	1.0	0.003250
