gen	mean-gamma	mean-score	mean-reach	best-score	best-gamma	mean-update	best-update	mean-plastic
0	0.3482	0.0067	3.3672	0.1071	0.8571	1.0000	1.0000	1.0000
1	0.3482	0.0067	3.0195	0.1071	0.8571	0.9531	1.0000	0.9898
2	0.4286	0.0067	3.5977	0.1071	0.8571	0.9688	1.0000	0.9898
3	0.3661	0.0067	2.4570	0.1071	0.8571	0.9375	1.0000	0.9930
4	0.4643	0.0067	3.9336	0.1071	0.8571	0.9688	1.0000	0.9938
5	0.4911	0.0106	4.2891	0.1071	0.8571	0.9688	1.0000	0.9898
6	0.5000	0.0106	4.1992	0.1071	0.8571	0.9688	1.0000	0.9891
7	0.4196	0.0106	3.8906	0.1071	0.8571	0.9688	1.0000	0.9875
8	0.3571	-0.0070	3.3945	0.0643	0.8571	0.9531	1.0000	0.9852
9	0.2500	-0.0015	2.5391	0.0643	0.8571	0.9063	1.0000	0.9664
10	0.2679	-0.0024	2.5234	0.0643	0.8571	0.9531	1.0000	0.9695
11	0.1875	0.0015	2.3242	0.0643	0.8571	0.9688	1.0000	0.9680
12	0.2679	0.0067	3.0859	0.1085	0.7143	0.9375	1.0000	0.9602
13	0.2857	0.0058	2.4258	0.1085	0.7143	0.9375	1.0000	0.9719
14	0.3125	0.0046	3.1172	0.1085	0.7143	0.9375	1.0000	0.9586
15	0.2768	0.0060	2.8867	0.1085	0.7143	0.8906	1.0000	0.9711
16	0.3571	0.0414	3.7305	0.5756	1.0000	0.9688	1.0000	0.9656
17	0.3929	0.0462	4.1836	0.5756	1.0000	0.9688	1.0000	0.9672
18	0.6696	0.0374	5.8047	0.5756	1.0000	0.9531	1.0000	0.9711
19	0.6250	0.0405	5.0391	0.5756	1.0000	0.9219	1.0000	0.9742
20	0.6250	0.0406	5.5273	0.5756	1.0000	0.9844	1.0000	0.9719
21	0.6786	0.0410	5.9609	0.5756	1.0000	0.9688	1.0000	0.9719
22	0.7054	0.0388	5.8828	0.5756	1.0000	0.9688	1.0000	0.9766
23	0.6964	0.0739	6.1914	0.5756	1.0000	0.9375	1.0000	0.9750
