gen	mean-gamma	mean-score	mean-reach	best-score	best-gamma	mean-update	best-update	mean-plastic
0	0.3482	0.0067	3.3672	0.1071	0.8571	1.0000	1.0000	1.0000
1	0.3839	0.0067	2.8906	0.1071	0.8571	0.9531	1.0000	0.9898
2	0.4018	0.0156	3.2539	0.1429	0.8571	0.9219	1.0000	0.9898
3	0.3661	0.0156	3.5469	0.1429	0.8571	0.9688	1.0000	0.9836
4	0.4375	0.0167	3.7930	0.1429	0.8571	0.9688	1.0000	0.9883
5	0.5625	0.0296	4.6602	0.2054	1.0000	0.9531	1.0000	0.9734
6	0.7143	0.0636	5.2617	0.5446	1.0000	0.9375	1.0000	0.9758
7	0.6696	0.0636	5.4531	0.5446	1.0000	0.9531	1.0000	0.9711
8	0.7589	0.0658	6.7695	0.4971	1.0000	0.9844	1.0000	0.9625
9	0.7857	0.0935	6.6445	0.4971	1.0000	0.9531	1.0000	0.9625
10	0.9018	0.1301	7.9727	0.6483	1.0000	0.9688	1.0000	0.9523
11	0.9643	0.1866	8.7617	0.6483	1.0000	0.9688	1.0000	0.9562
12	0.9643	0.1660	8.1836	0.6483	1.0000	0.9375	1.0000	0.9422
13	0.9911	0.1814	8.1250	0.6483	1.0000	0.9375	1.0000	0.9336
14	0.9732	0.1832	8.2813	0.6483	1.0000	0.9375	1.0000	0.9375
15	0.9821	0.2269	8.9766	0.6483	1.0000	0.9375	1.0000	0.9352
16	0.9732	0.1988	8.2891	0.6483	1.0000	0.9531	1.0000	0.9375
17	0.9821	0.2613	9.4531	0.6483	1.0000	1.0000	1.0000	0.9281
18	0.9821	0.2555	9.1133	0.6483	1.0000	0.9531	1.0000	0.9344
19	0.9554	0.2194	8.2188	0.6483	1.0000	0.9219	1.0000	0.9336
20	0.9554	0.2303	8.6992	0.6483	1.0000	0.9844	1.0000	0.9258
21	0.9911	0.2610	9.0273	0.6483	1.0000	0.9375	1.0000	0.9258
22	0.9821	0.2293	8.1680	0.6483	1.0000	0.9219	1.0000	0.9328
23	0.9911	0.2256	9.0820	0.6483	1.0000	0.9688	1.0000	0.9320
