gen	mean-gamma	mean-score	mean-reach	best-score	best-gamma	mean-update	best-update	mean-plastic	mean-held
0	0.6685	0.4595	6.5597	0.9680	0.7500	1.0000	1.0000	0.6685	0.0000
1	0.7363	0.5219	6.1111	0.9341	0.8750	0.9688	0.7500	0.6928	0.0062
2	0.8715	0.5825	6.1806	0.9941	0.7500	0.9479	1.0000	0.7973	0.0167
3	0.8950	0.4979	5.8278	0.9798	0.8750	0.9271	0.7500	0.7825	0.0276
4	0.8694	0.4868	4.4444	0.9586	0.8750	0.8542	0.7500	0.6752	0.0411
5	0.8615	0.5577	3.9458	0.9859	0.9000	0.8125	1.0000	0.6253	0.0526
6	0.8677	0.4881	3.9778	0.9997	0.8750	0.8021	0.5000	0.6153	0.0578
7	0.8652	0.4957	3.8500	0.9814	0.8750	0.7917	0.7500	0.5898	0.0682
8	0.8385	0.4947	3.3722	0.9470	0.9000	0.7500	0.7500	0.5243	0.0854
9	0.8042	0.4944	3.1903	0.9639	0.8750	0.7188	1.0000	0.4531	0.1052
10	0.8642	0.3666	2.8625	0.7687	0.8750	0.6042	1.0000	0.4119	0.1182
11	0.8250	0.4565	2.7569	0.9786	0.7500	0.6563	0.5000	0.4197	0.1380
12	0.7906	0.5122	2.8417	0.9819	0.9000	0.7396	0.7500	0.4439	0.1437
13	0.8106	0.4919	3.0847	0.9660	0.7500	0.7083	0.5000	0.4207	0.1547
14	0.8008	0.5985	2.8931	0.9829	0.9900	0.6875	0.2500	0.4016	0.1630
15	0.8277	0.5174	3.0917	0.9445	0.7500	0.6250	0.5000	0.3877	0.1682
16	0.8537	0.4159	3.4236	0.9153	0.8750	0.7917	0.7500	0.4897	0.1703
17	0.8169	0.5123	3.6542	0.9197	0.8750	0.8542	1.0000	0.4959	0.1786
18	0.8017	0.4824	3.7764	0.9327	0.8750	0.8958	0.2500	0.4977	0.1818
19	0.8013	0.5115	3.6903	0.9655	0.0000	0.9063	1.0000	0.4829	0.2016
20	0.7765	0.4677	3.3389	0.9802	0.9900	0.8125	1.0000	0.4161	0.1979
21	0.7285	0.5873	2.4000	0.9533	0.8750	0.6771	0.2500	0.3173	0.1953
22	0.6946	0.3988	2.5861	0.9742	0.0000	0.7292	0.7500	0.3467	0.1958
23	0.7725	0.6106	2.8694	0.9919	0.9000	0.7708	0.2500	0.3941	0.1958
24	0.9023	0.4363	3.0333	0.9931	0.9000	0.7188	0.5000	0.4170	0.1948
25	0.9129	0.5016	2.8875	0.9586	0.9000	0.7188	1.0000	0.4119	0.2135
26	0.8987	0.5978	2.4389	0.9699	0.5000	0.6250	1.0000	0.3470	0.2219
27	0.8550	0.5088	1.9653	0.9196	0.9500	0.5625	0.5000	0.2807	0.2297
28	0.8973	0.5522	2.0667	0.9121	0.9900	0.5000	1.0000	0.2641	0.2271
29	0.9569	0.6025	2.2486	0.9909	0.9500	0.4896	0.2500	0.2986	0.2250
