gen	mean-gamma	mean-score	mean-reach	best-score	best-gamma	mean-update	best-update	mean-plastic
0	0.3810	0.0032	4.5625	0.0762	0.8571	1.0000	1.0000	1.0000
1	0.3929	0.0032	3.6500	0.0762	0.8571	0.9271	1.0000	0.9891
2	0.3571	0.0032	3.6681	0.0762	0.8571	0.9479	1.0000	0.9922
3	0.4048	0.0202	4.2000	0.4095	1.0000	0.9479	1.0000	0.9927
4	0.3690	0.0339	4.1528	0.4095	1.0000	0.9792	1.0000	0.9911
5	0.4881	0.0357	5.3056	0.4095	1.0000	0.9792	1.0000	0.9818
6	0.4821	0.0819	5.4500	0.6000	1.0000	0.9375	1.0000	0.9828
7	0.7321	0.1085	7.1792	0.6000	1.0000	0.9688	1.0000	0.9755
8	0.6905	0.0782	7.3208	0.5506	1.0000	0.9792	1.0000	0.9578
9	0.7619	0.1096	7.0014	0.6525	1.0000	0.9167	1.0000	0.9661
10	0.8690	0.1280	8.5806	0.6525	1.0000	0.9792	1.0000	0.9547
11	0.9226	0.1634	8.1208	0.6525	1.0000	0.9375	1.0000	0.9406
12	0.9286	0.1767	8.6042	0.6525	1.0000	0.9688	1.0000	0.9250
13	0.9524	0.2265	9.4542	0.6525	1.0000	0.9896	1.0000	0.9385
14	0.9345	0.2444	8.7278	0.6525	1.0000	0.9375	1.0000	0.9641
15	0.9821	0.2705	9.0736	0.7976	1.0000	0.9375	1.0000	0.9682
16	0.9643	0.3209	9.9375	0.8132	1.0000	0.9688	1.0000	0.9708
17	0.9821	0.2817	9.4444	0.8132	1.0000	0.9583	1.0000	0.9677
18	0.9762	0.3565	9.6278	0.8132	1.0000	0.9375	1.0000	0.9688
19	0.9702	0.3580	10.0458	0.8132	1.0000	0.9688	1.0000	0.9672
20	0.9881	0.3278	9.8250	0.8132	1.0000	0.9583	1.0000	0.9583
21	0.9643	0.3627	10.1569	0.8132	1.0000	0.9792	1.0000	0.9625
22	0.9702	0.3421	9.9653	0.8132	1.0000	0.9688	1.0000	0.9599
23	0.9762	0.3909	10.3389	0.8132	1.0000	0.9688	1.0000	0.9635
24	0.9702	0.3594	9.3903	0.8132	1.0000	0.9375	1.0000	0.9677
25	0.9702	0.3742	9.9444	0.8132	1.0000	0.9583	1.0000	0.9651
26	0.9643	0.3813	9.8875	0.8132	1.0000	0.9583	1.0000	0.9589
27	0.9643	0.3679	9.8028	0.8132	1.0000	0.9479	1.0000	0.9568
28	0.9821	0.5232	11.5222	0.9078	1.0000	0.9792	1.0000	0.9641
29	0.9643	0.3919	9.9000	0.9078	1.0000	0.9479	1.0000	0.9625
