gen	mean-gamma	mean-score	mean-reach	best-score	best-gamma	mean-update	best-update	mean-plastic
0	0.3810	0.0032	4.5625	0.0762	0.8571	1.0000	1.0000	1.0000
1	0.4286	0.0044	4.0750	0.0762	0.8571	0.9479	1.0000	0.9906
2	0.4524	0.0044	4.0736	0.0762	0.8571	0.9375	1.0000	0.9896
3	0.3690	0.0250	4.3861	0.4952	1.0000	0.9583	1.0000	0.9906
4	0.4762	0.0442	4.9528	0.4952	1.0000	0.9688	1.0000	0.9870
5	0.6429	0.0665	5.7028	0.4952	1.0000	0.9375	1.0000	0.9745
6	0.7619	0.0679	6.3986	0.4952	1.0000	0.9271	1.0000	0.9755
7	0.8036	0.1534	7.5222	0.6524	1.0000	0.9583	1.0000	0.9693
8	0.9405	0.1217	7.5903	0.6043	1.0000	0.9167	1.0000	0.9604
9	0.9643	0.1767	8.8514	0.6043	1.0000	0.9688	1.0000	0.9578
10	0.9821	0.1967	8.9750	0.6043	1.0000	0.9688	1.0000	0.9521
11	0.9881	0.2576	9.2722	0.7014	1.0000	0.9583	1.0000	0.9536
12	0.9702	0.2699	9.3944	0.7014	1.0000	0.9688	1.0000	0.9474
13	0.9643	0.2928	9.3597	0.8573	1.0000	0.9688	1.0000	0.9391
14	0.9583	0.2961	9.5819	0.8573	1.0000	0.9479	1.0000	0.9505
15	0.9762	0.3288	9.9431	0.8573	1.0000	0.9583	1.0000	0.9536
16	0.9702	0.2999	9.7403	0.8573	1.0000	0.9688	1.0000	0.9510
17	0.9583	0.2632	8.6944	0.8573	1.0000	0.9271	1.0000	0.9448
18	0.9881	0.3170	9.4431	0.8573	1.0000	0.9375	1.0000	0.9448
19	0.9702	0.2917	9.2778	0.8573	1.0000	0.9479	1.0000	0.9406
20	0.9583	0.3198	9.3542	0.8573	1.0000	0.9479	1.0000	0.9479
21	0.9702	0.3444	9.9875	0.8573	1.0000	0.9792	1.0000	0.9359
22	0.9821	0.3524	9.5639	0.8573	1.0000	0.9479	1.0000	0.9401
23	0.9881	0.4332	10.7597	0.8573	1.0000	0.9688	1.0000	0.9432
24	0.9702	0.3684	9.8403	0.8573	1.0000	0.9375	1.0000	0.9458
25	0.9881	0.3522	9.7819	0.8573	1.0000	0.9479	1.0000	0.9443
26	0.9762	0.3925	10.4556	0.8573	1.0000	0.9688	1.0000	0.9417
27	0.9821	0.3848	10.2681	0.8573	1.0000	0.9688	1.0000	0.9438
28	0.9702	0.3928	10.1389	0.8573	1.0000	0.9688	1.0000	0.9417
29	0.9702	0.3771	9.9403	0.8573	1.0000	0.9583	1.0000	0.9432
