gen	mean-gamma	mean-score	mean-reach	best-score	best-gamma	mean-update	best-update	mean-plastic
0	1.0000	0.5331	11.7222	0.9714	1.0000	1.0000	1.0000	1.0000
1	1.0000	0.5607	11.5000	0.9714	1.0000	0.9792	1.0000	0.9870
2	1.0000	0.5081	10.6847	0.9714	1.0000	0.9479	1.0000	0.9839
3	1.0000	0.5929	11.8125	0.9714	1.0000	0.9792	1.0000	0.9823
4	1.0000	0.5419	10.9486	0.9714	1.0000	0.9479	1.0000	0.9760
5	1.0000	0.5452	11.4833	0.9714	1.0000	0.9792	1.0000	0.9781
6	1.0000	0.5165	10.6250	0.9714	1.0000	0.9271	1.0000	0.9828
7	1.0000	0.6383	12.3208	0.9714	1.0000	0.9896	1.0000	0.9802
8	1.0000	0.3512	11.0319	0.7714	1.0000	0.9375	1.0000	0.9823
9	1.0000	0.3793	11.4847	0.7714	1.0000	0.9688	1.0000	0.9786
10	1.0000	0.3357	10.8069	0.7714	1.0000	0.9375	1.0000	0.9792
11	1.0000	0.4337	12.1528	0.7714	1.0000	0.9792	1.0000	0.9766
12	1.0000	0.3768	11.6458	0.7714	1.0000	0.9688	1.0000	0.9760
13	1.0000	0.3491	11.0431	0.7714	1.0000	0.9375	1.0000	0.9688
14	1.0000	0.3875	11.4417	0.7714	1.0000	0.9479	1.0000	0.9740
15	1.0000	0.4563	12.3444	0.7714	1.0000	0.9792	1.0000	0.9813
16	1.0000	0.3895	11.4194	0.7714	1.0000	0.9479	1.0000	0.9740
17	1.0000	0.4782	12.0931	0.7952	1.0000	0.9583	1.0000	0.9818
18	1.0000	0.3942	11.6264	0.7952	1.0000	0.9583	1.0000	0.9833
19	1.0000	0.4243	11.5500	0.7952	1.0000	0.9479	1.0000	0.9849
20	1.0000	0.4735	12.2042	0.7952	1.0000	0.9583	1.0000	0.9776
21	1.0000	0.4342	11.8528	0.7952	1.0000	0.9583	1.0000	0.9818
22	1.0000	0.4326	11.8722	0.7952	1.0000	0.9583	1.0000	0.9849
23	1.0000	0.3804	11.2514	0.7952	1.0000	0.9375	1.0000	0.9839
24	1.0000	0.3590	10.9708	0.8002	1.0000	0.9375	1.0000	0.9828
25	1.0000	0.4992	12.3278	0.8002	1.0000	0.9583	1.0000	0.9880
26	1.0000	0.4994	12.5486	0.8002	1.0000	0.9688	1.0000	0.9870
27	1.0000	0.4918	12.4500	0.8027	1.0000	0.9688	1.0000	0.9885
28	1.0000	0.3687	10.8972	0.8027	1.0000	0.9271	1.0000	0.9797
29	1.0000	0.4269	11.3750	0.8027	1.0000	0.9271	1.0000	0.9807
