gen	mean-gamma	mean-score	mean-reach	best-score	best-gamma	mean-update	best-update	mean-plastic	mean-held
0	0.6685	0.0511	6.5597	0.8199	0.9900	1.0000	1.0000	0.6685	0.0000
1	0.6335	0.0511	5.2000	0.8199	0.9900	0.9271	1.0000	0.5865	0.0109
2	0.5967	0.0785	5.4639	0.8199	0.9900	0.9479	1.0000	0.5582	0.0078
3	0.6060	0.1153	5.8306	0.8812	1.0000	0.9479	1.0000	0.5647	0.0083
4	0.6492	0.1185	6.6236	0.8812	1.0000	0.9792	1.0000	0.6328	0.0089
5	0.7604	0.1232	7.5236	0.8812	1.0000	0.9792	1.0000	0.7305	0.0146
6	0.8448	0.1641	7.6375	0.8812	1.0000	0.9375	1.0000	0.7747	0.0172
7	0.9340	0.2091	9.3306	0.8812	1.0000	0.9688	1.0000	0.8874	0.0229
8	0.9942	0.1905	10.0361	0.8319	1.0000	0.9792	1.0000	0.9414	0.0333
9	0.9958	0.1995	9.4861	0.8319	1.0000	0.9375	1.0000	0.8958	0.0411
10	0.9979	0.2520	10.4069	0.8695	1.0000	0.9792	1.0000	0.9436	0.0339
11	0.9971	0.2957	9.8681	0.8695	1.0000	0.9375	1.0000	0.9050	0.0328
12	0.9946	0.2826	10.3667	0.8695	1.0000	0.9688	1.0000	0.9309	0.0344
13	0.9950	0.3634	11.2069	0.8695	1.0000	0.9896	1.0000	0.9572	0.0286
14	0.9929	0.3647	10.1667	0.8695	1.0000	0.9375	1.0000	0.9117	0.0208
15	0.9946	0.3616	9.8639	0.8695	1.0000	0.9375	1.0000	0.9089	0.0260
16	0.9908	0.4350	11.1431	0.8695	1.0000	0.9688	1.0000	0.9418	0.0198
17	0.9946	0.3841	10.4139	0.8695	1.0000	0.9583	1.0000	0.9316	0.0224
18	0.9904	0.4472	10.4306	0.9468	1.0000	0.9375	1.0000	0.9099	0.0229
19	0.9896	0.4273	10.8458	0.9468	1.0000	0.9688	1.0000	0.9361	0.0245
20	0.9942	0.3929	10.5167	0.9468	1.0000	0.9583	1.0000	0.9220	0.0328
21	0.9892	0.4062	10.7931	0.9468	1.0000	0.9792	1.0000	0.9437	0.0255
22	0.9904	0.4174	10.9764	0.9468	1.0000	0.9688	1.0000	0.9369	0.0245
23	0.9925	0.4279	10.9944	0.9468	1.0000	0.9688	1.0000	0.9377	0.0250
24	0.9933	0.3930	10.2722	0.9468	1.0000	0.9375	1.0000	0.9084	0.0250
25	0.9921	0.4702	11.0556	0.9468	1.0000	0.9583	1.0000	0.9274	0.0245
26	0.9929	0.4740	10.8736	0.9468	1.0000	0.9583	1.0000	0.9285	0.0250
27	0.9896	0.4235	10.4444	0.9468	1.0000	0.9479	1.0000	0.9176	0.0229
28	0.9917	0.5329	11.7861	0.9468	1.0000	0.9792	1.0000	0.9519	0.0208
29	0.9867	0.4295	10.2375	0.9468	1.0000	0.9479	1.0000	0.9185	0.0187
