gen	mean-gamma	mean-score	mean-reach	best-score	best-gamma	mean-update	best-update	mean-plastic	mean-held
0	0.6685	0.0402	6.9326	0.6418	0.9900	1.0000	1.0000	0.6685	0.0000
1	0.6515	0.0445	5.8438	0.6418	0.9900	0.9688	1.0000	0.6131	0.0062
2	0.6485	0.0544	6.4174	0.6418	0.9900	0.9792	1.0000	0.6283	0.0073
3	0.8067	0.0847	7.2375	0.6418	0.9900	0.9479	1.0000	0.7531	0.0120
4	0.8090	0.0925	7.3632	0.6418	0.9900	0.9583	1.0000	0.7544	0.0151
5	0.9392	0.1082	8.3250	0.6418	0.9900	0.9583	1.0000	0.8754	0.0120
6	0.9554	0.1727	9.5854	0.7510	1.0000	0.9896	1.0000	0.9147	0.0172
7	0.9900	0.1754	9.2563	0.7510	1.0000	0.9583	1.0000	0.9000	0.0250
8	0.9958	0.1620	9.0760	0.7016	1.0000	0.9375	1.0000	0.8948	0.0198
9	0.9954	0.1622	9.4292	0.7016	1.0000	0.9583	1.0000	0.9075	0.0229
10	0.9929	0.1492	8.5611	0.7016	1.0000	0.9167	1.0000	0.8742	0.0172
11	0.9954	0.1779	9.6118	0.7016	1.0000	0.9583	1.0000	0.9166	0.0188
12	0.9958	0.1630	9.4823	0.7016	1.0000	0.9688	1.0000	0.9219	0.0214
13	0.9887	0.1561	8.6788	0.7016	1.0000	0.9271	1.0000	0.8793	0.0208
14	0.9946	0.1694	9.0792	0.7016	1.0000	0.9583	1.0000	0.9072	0.0255
15	0.9971	0.1980	9.3802	0.7016	1.0000	0.9375	1.0000	0.8979	0.0177
16	0.9967	0.2020	9.9479	0.7016	1.0000	0.9688	1.0000	0.9280	0.0177
17	0.9942	0.2341	9.7288	0.7016	1.0000	0.9479	1.0000	0.9040	0.0198
18	0.9962	0.2448	10.3753	0.7840	1.0000	0.9792	1.0000	0.9316	0.0198
19	0.9921	0.2463	9.9642	0.7840	1.0000	0.9792	1.0000	0.9289	0.0188
20	0.9967	0.2641	9.0403	0.7840	1.0000	0.9167	1.0000	0.8828	0.0151
21	0.9967	0.2556	9.8913	0.7840	1.0000	0.9583	1.0000	0.9197	0.0188
22	0.9958	0.2680	9.8146	0.7840	1.0000	0.9479	1.0000	0.9066	0.0182
23	0.9950	0.2809	10.1128	0.8382	1.0000	0.9583	1.0000	0.9107	0.0193
24	0.9962	0.2922	10.1795	0.8382	1.0000	0.9688	1.0000	0.9236	0.0172
25	0.9962	0.2893	9.5142	0.8382	1.0000	0.9375	1.0000	0.8937	0.0188
26	0.9979	0.3404	10.3125	0.8382	1.0000	0.9583	1.0000	0.9179	0.0167
27	0.9971	0.2792	9.6285	0.8382	1.0000	0.9375	1.0000	0.8906	0.0161
28	0.9971	0.3037	9.8247	0.8382	1.0000	0.9479	1.0000	0.9054	0.0167
29	0.9975	0.2681	9.9535	0.8382	1.0000	0.9583	1.0000	0.9132	0.0167
