cell	seed1	seed2	seed3	mean
0	1.0000	1.0000	1.0000	1.0000
1	0.4917	0.1333	0.2667	0.2972
2	0.5167	0.5583	0.2417	0.4389
3	0.5167	0.2500	0.2833	0.3500
4	0.4667	0.2583	0.2500	0.3250
5	0.4167	0.1583	0.1750	0.2500
6	0.1000	0.5000	0.5333	0.3778
7	0.1667	0.2417	0.2250	0.2111
8	0.2250	0.1583	0.1000	0.1611
9	0.1333	0.5667	0.2833	0.3278
10	0.4667	0.2250	0.1750	0.2889
11	0.5333	0.1333	0.2167	0.2944
12	0.5417	0.5333	0.1917	0.4222
13	0.5250	0.1833	0.3417	0.3500
14	0.5750	0.2167	0.2750	0.3556
15	0.6167	0.1417	0.1250	0.2944
16	0.5667	0.1417	0.1083	0.2722
17	0.5750	0.2333	0.4417	0.4167
18	0.4417	0.2083	0.4667	0.3722
19	0.5250	0.4250	0.4750	0.4750
20	0.5000	0.3417	0.4167	0.4194
21	0.5083	0.3417	0.2250	0.3583
22	0.5000	0.3583	0.1000	0.3194
23	0.5083	0.3500	0.2583	0.3722
24	0.4167	0.1167	0.1000	0.2111
25	0.3083	0.1833	0.2750	0.2556
26	0.2583	0.1917	0.1417	0.1972
27	0.2667	0.4417	0.2167	0.3083
28	0.3000	0.4167	0.2000	0.3056
29	0.3583	0.1250	0.1583	0.2139
30	0.4500	0.1583	0.2417	0.2833
31	0.5167	0.2417	0.1833	0.3139
32	0.4583	0.1333	0.1667	0.2528
33	0.4500	0.2500	0.2000	0.3000
34	0.2000	0.2083	0.1500	0.1861
35	0.1833	0.2417	0.1417	0.1889
36	0.5833	0.3750	0.1667	0.3750
37	0.1083	0.3167	0.1833	0.2028
38	0.1250	0.3500	0.2167	0.2306
39	0.1083	0.3417	0.1833	0.2111
40	0.1000	0.3833	0.4000	0.2944
41	0.0833	0.3750	0.2000	0.2194
42	0.5250	0.3750	0.1917	0.3639
43	0.2417	0.4000	0.1750	0.2722
44	0.1917	0.4667	0.1500	0.2694
45	0.2333	0.4417	0.1583	0.2778
46	0.1500	0.5083	0.1333	0.2639
47	0.2833	0.4417	0.2667	0.3306
48	0.0833	0.3917	0.5917	0.3556
49	0.3250	0.3750	0.1333	0.2778
50	0.2000	0.2833	0.1583	0.2139
51	0.2000	0.1750	0.1833	0.1861
52	0.3750	0.1000	0.1750	0.2167
53	0.3667	0.3833	0.4083	0.3861
54	0.4417	0.3583	0.4500	0.4167
55	0.4417	0.2333	0.1500	0.2750
56	0.3833	0.1750	0.1667	0.2417
57	0.2917	0.1750	0.2583	0.2417
58	0.1833	0.1500	0.1333	0.1556
59	0.1417	0.1750	0.2833	0.2000
60	0.4333	0.1833	0.1833	0.2667
61	0.3583	0.1417	0.2500	0.2500
62	0.1667	0.1250	0.1417	0.1444
63	0.2000	0.3667	0.2583	0.2750
64	0.1167	0.4583	0.1917	0.2556
65	0.4083	0.4417	0.1333	0.3278
66	0.4667	0.3917	0.6000	0.4861
67	0.4417	0.1833	0.5750	0.4000
68	0.4333	0.2583	0.5667	0.4194
69	0.5167	0.0750	0.5000	0.3639
70	0.5000	0.1583	0.4917	0.3833
71	0.4333	0.2667	0.3917	0.3639
72	0.2083	0.2917	0.4250	0.3083
73	0.1750	0.1500	0.4333	0.2528
74	0.4667	0.1250	0.4750	0.3556
75	0.4750	0.1500	0.1583	0.2611
76	0.4417	0.4500	0.1667	0.3528
77	0.1167	0.5167	0.2167	0.2833
78	0.1833	0.5583	0.4833	0.4083
79	1.0000	1.0000	1.0000	1.0000
