cell	seed1	seed2	seed3	mean
0	1.0000	1.0000	1.0000	1.0000
1	0.5333	0.1833	0.5000	0.4056
2	0.5083	0.0917	0.4583	0.3528
3	0.2083	0.1083	0.3917	0.2361
4	0.1417	0.2000	0.4667	0.2694
5	0.2333	0.4917	0.4667	0.3972
6	0.1833	0.5167	0.4583	0.3861
7	0.2833	0.2500	0.2417	0.2583
8	0.2750	0.1333	0.1000	0.1694
9	0.2917	0.4917	0.3917	0.3917
10	0.2333	0.4250	0.2000	0.2861
11	0.2333	0.2250	0.1750	0.2111
12	0.1417	0.1667	0.4583	0.2556
13	0.2000	0.1000	0.1667	0.1556
14	0.2167	0.1167	0.2333	0.1889
15	0.3917	0.1750	0.1583	0.2417
16	0.2167	0.1500	0.2167	0.1944
17	0.1750	0.1750	0.2000	0.1833
18	0.1500	0.1417	0.2417	0.1778
19	0.1833	0.2167	0.2250	0.2083
20	0.4583	0.1500	0.1333	0.2472
21	0.1917	0.5000	0.2250	0.3056
22	0.2083	0.5083	0.3167	0.3444
23	0.2083	0.1750	0.3667	0.2500
24	0.1750	0.0667	0.3917	0.2111
25	0.4250	0.2083	0.3917	0.3417
26	0.4833	0.1667	0.4000	0.3500
27	0.4333	0.1750	0.4083	0.3389
28	0.4500	0.1083	0.4500	0.3361
29	0.4917	0.5250	0.5167	0.5111
30	0.4250	0.5167	0.5250	0.4889
31	0.4833	0.5833	0.5750	0.5472
32	0.1917	0.1583	0.5667	0.3056
33	0.1500	0.1583	0.5667	0.2917
34	0.1583	0.1750	0.5417	0.2917
35	0.2250	0.1333	0.5417	0.3000
36	0.1917	0.5083	0.5167	0.4056
37	0.1417	0.4833	0.1833	0.2694
38	0.4500	0.4417	0.1083	0.3333
39	0.4750	0.3083	0.1417	0.3083
40	0.4917	0.3417	0.1667	0.3333
41	0.2833	0.2750	0.1000	0.2194
42	0.1000	0.2667	0.2167	0.1944
43	0.1500	0.2083	0.4750	0.2778
44	0.1750	0.2583	0.4750	0.3028
45	0.1500	0.1583	0.4167	0.2417
46	0.2250	0.2750	0.1417	0.2139
47	0.1917	0.1167	0.2250	0.1778
48	0.2083	0.4250	0.2583	0.2972
49	0.1667	0.2083	0.1333	0.1694
50	0.4417	0.1750	0.2000	0.2722
51	0.3417	0.2250	0.5750	0.3806
52	0.2167	0.1417	0.1333	0.1639
53	0.2667	0.3583	0.1000	0.2417
54	0.1417	0.3500	0.1333	0.2083
55	0.4250	0.1000	0.1500	0.2250
56	0.3917	0.1667	0.4000	0.3194
57	0.4250	0.2833	0.3667	0.3583
58	0.5333	0.1583	0.1833	0.2917
59	0.6250	0.2333	0.1917	0.3500
60	0.6583	0.1917	0.2333	0.3611
61	0.5917	0.2250	0.2833	0.3667
62	0.6167	0.2500	0.2833	0.3833
63	0.5667	0.1417	0.1417	0.2833
64	0.5250	0.3000	0.1583	0.3278
65	0.5250	0.2500	0.1167	0.2972
66	0.5250	0.2333	0.2250	0.3278
67	0.5000	0.4000	0.1167	0.3389
68	0.4917	0.2000	0.1333	0.2750
69	0.5167	0.2833	0.1417	0.3139
70	0.5417	0.0833	0.1833	0.2694
71	0.5000	0.2000	0.2500	0.3167
72	0.1833	0.0833	0.2250	0.1639
73	0.2083	0.1833	0.1000	0.1639
74	0.2000	0.1750	0.1583	0.1778
75	0.1417	0.3750	0.1000	0.2056
76	0.0750	0.3833	0.1583	0.2056
77	0.1250	0.5083	0.1750	0.2694
78	0.6000	0.6083	0.5167	0.5750
79	1.0000	1.0000	1.0000	1.0000
