locus	rule	band	dep	fitness	base-band	base-fit	fn-preserved	selectable
0	131	0.7126	0.9405	0.6656	0.9732	0.9255	false	false
1	209	0.7510	0.9405	0.7039	0.9732	0.9255	false	false
2	244	0.9732	0.9405	0.9262	0.9732	0.9255	true	true
3	231	0.5057	0.9405	0.4587	0.9732	0.9255	false	false
4	187	0.1762	0.9405	0.1292	0.9732	0.9255	false	false
5	70	0.9732	0.9405	0.9262	0.9732	0.9255	true	true
6	218	0.8276	0.9405	0.7806	0.9732	0.9255	false	false
7	14	0.4368	0.9405	0.3898	0.9732	0.9255	false	false
8	227	0.1762	0.9405	0.1292	0.9732	0.9255	false	false
9	93	0.8123	0.9405	0.7652	0.9732	0.9255	false	false
10	66	0.2529	0.9405	0.2058	0.9732	0.9255	false	false
11	155	0.3372	0.9405	0.2901	0.9732	0.9255	false	false
12	175	0.5364	0.9405	0.4894	0.9732	0.9255	false	false
13	215	0.7816	0.9405	0.7346	0.9732	0.9255	false	false
14	142	0.3372	0.9405	0.2901	0.9732	0.9255	false	false
15	136	0.5900	0.9405	0.5430	0.9732	0.9255	false	false
16	81	0.1916	0.9405	0.1445	0.9732	0.9255	false	false
17	105	0.3831	0.9405	0.3361	0.9732	0.9255	false	false
18	81	0.3218	0.9405	0.2748	0.9732	0.9255	false	false
19	150	0.7203	0.9405	0.6733	0.9732	0.9255	false	false
20	181	0.4521	0.9529	0.4045	0.9732	0.9255	false	false
21	58	0.2375	0.9405	0.1905	0.9732	0.9255	false	false
22	156	0.7586	0.9405	0.7116	0.9732	0.9255	false	false
23	5	0.4215	0.9405	0.3744	0.9732	0.9255	false	false
24	202	0.1686	0.9405	0.1216	0.9732	0.9255	false	false
25	105	0.4138	0.9405	0.3668	0.9732	0.9255	false	false
26	53	0.2452	0.9405	0.1982	0.9732	0.9255	false	false
27	44	0.0000	0.9405	-0.0470	0.9732	0.9255	false	false
28	197	0.1303	0.9405	0.0832	0.9732	0.9255	false	false
29	0	0.0000	0.9405	-0.0470	0.9732	0.9255	false	false
30	160	0.2222	0.9405	0.1752	0.9732	0.9255	false	false
31	97	0.0000	0.9405	-0.0470	0.9732	0.9255	false	false
32	200	0.0000	0.9405	-0.0470	0.9732	0.9255	false	false
33	36	0.0000	0.9405	-0.0470	0.9732	0.9255	false	false
34	127	0.0000	0.9405	-0.0470	0.9732	0.9255	false	false
35	45	0.3525	0.9405	0.3055	0.9732	0.9255	false	false
36	225	0.1073	0.9405	0.0603	0.9732	0.9255	false	false
37	61	0.0000	0.9405	-0.0470	0.9732	0.9255	false	false
38	210	0.3295	0.9405	0.2825	0.9732	0.9255	false	false
39	80	0.2452	0.9405	0.1982	0.9732	0.9255	false	false
40	115	0.0000	0.9405	-0.0470	0.9732	0.9255	false	false
41	215	0.0000	0.9405	-0.0470	0.9732	0.9255	false	false
42	54	0.7969	0.9405	0.7499	0.9732	0.9255	false	false
43	140	0.0000	0.9405	-0.0470	0.9732	0.9255	false	false
44	39	0.0000	0.9405	-0.0470	0.9732	0.9255	false	false
45	137	0.4751	0.9405	0.4281	0.9732	0.9255	false	false
46	136	0.0000	0.9405	-0.0470	0.9732	0.9255	false	false
47	184	0.2682	0.9405	0.2212	0.9732	0.9255	false	false
48	46	0.0000	0.9405	-0.0470	0.9732	0.9255	false	false
49	154	0.0000	0.9405	-0.0470	0.9732	0.9255	false	false
50	193	0.1303	0.9405	0.0832	0.9732	0.9255	false	false
51	192	0.0000	0.9405	-0.0470	0.9732	0.9255	false	false
52	122	0.4828	0.9405	0.4357	0.9732	0.9255	false	false
53	75	0.1379	0.9405	0.0909	0.9732	0.9255	false	false
54	198	0.4904	0.9405	0.4434	0.9732	0.9255	false	false
55	218	0.1839	0.9405	0.1369	0.9732	0.9255	false	false
56	90	0.6743	0.9405	0.6273	0.9732	0.9255	false	false
57	240	0.4521	0.9405	0.4051	0.9732	0.9255	false	false
58	64	0.0000	0.9405	-0.0470	0.9732	0.9255	false	false
59	31	0.2989	0.9405	0.2518	0.9732	0.9255	false	false
60	139	0.4521	0.9405	0.4051	0.9732	0.9255	false	false
61	59	0.1839	0.9405	0.1369	0.9732	0.9255	false	false
63	179	0.0000	0.9405	-0.0470	0.9732	0.9255	false	false
64	71	0.3755	0.9405	0.3285	0.9732	0.9255	false	false
65	91	0.0000	0.9405	-0.0470	0.9732	0.9255	false	false
66	81	0.0000	0.9405	-0.0470	0.9732	0.9255	false	false
67	40	0.0000	0.9405	-0.0470	0.9732	0.9255	false	false
68	6	0.0000	0.9405	-0.0470	0.9732	0.9255	false	false
69	222	0.1609	0.9405	0.1139	0.9732	0.9255	false	false
70	50	0.0000	0.9405	-0.0470	0.9732	0.9255	false	false
71	87	0.0000	0.9405	-0.0470	0.9732	0.9255	false	false
72	212	0.0000	0.9405	-0.0470	0.9732	0.9255	false	false
73	81	0.2299	0.9405	0.1829	0.9732	0.9255	false	false
74	140	0.3295	0.9529	0.2819	0.9732	0.9255	false	false
75	68	0.3218	0.9405	0.2748	0.9732	0.9255	false	false
76	195	0.7356	0.9405	0.6886	0.9732	0.9255	false	false
77	120	0.6897	0.9405	0.6426	0.9732	0.9255	false	false
78	195	0.8046	0.9405	0.7576	0.9732	0.9255	false	false
79	239	0.1303	0.9405	0.0832	0.9732	0.9255	false	false
