depth	tolerance	held_out_loss	held_out_n
1	0.02	1.5084890866273768	46800
1	0.05	1.5129919645513759	46800
1	0.1	1.5156529454198269	46800
1	0.2	1.5226944120338444	46800
1	0.4	1.5219541939143544	46800
2	0.02	1.5651657516724318	45600
2	0.05	1.5582556264203318	45600
2	0.1	1.5504707506165505	45600
2	0.2	1.5417459309863357	45600
2	0.4	1.5369878950271663	45600
3	0.02	1.594936661390275	44400
3	0.05	1.5852795927857004	44400
3	0.1	1.5759005137901525	44400
3	0.2	1.5662070763522187	44400
3	0.4	1.5609497087568553	44400
4	0.02	1.5958974477511503	43200
4	0.05	1.5742225945944854	43200
4	0.1	1.5640324053346861	43200
4	0.2	1.5547928537660616	43200
4	0.4	1.5493612213592776	43200
