dataset	depth	tolerance	loss	held-out-n
offset1	1	0.1	1.5585099461617553	37200
offset1	1	0.2	1.967045703247094	37200
offset1	1	0.4	2.1380648383460565	37200
offset1	2	0.1	1.8850801818568914	36000
offset1	2	0.2	2.105395269163831	36000
offset1	2	0.4	2.190622288303256	36000
two4cyc	1	0.1	1.5388387350505692	37200
two4cyc	1	0.2	1.5861238882021382	37200
two4cyc	1	0.4	1.6295217858811868	37200
two4cyc	2	0.1	1.6875524117723193	36000
two4cyc	2	0.2	1.6658471497396488	36000
two4cyc	2	0.4	1.6718537997752319	36000
sigma16250374	1	0.1	1.699014399393149	37200
sigma16250374	1	0.2	1.7873884743578345	37200
sigma16250374	1	0.4	1.8438394162838327	37200
sigma16250374	2	0.1	1.8752536336218888	36000
sigma16250374	2	0.2	1.881832086670886	36000
sigma16250374	2	0.4	1.8892328591632936	36000
river	1	0.1	1.004979841054158	10032
river	1	0.2	1.3250143877566718	10032
river	1	0.4	1.478288518513163	10032
river	2	0.1	1.0121503136810635	9504
river	2	0.2	1.173447404467627	9504
river	2	0.4	1.443091853121119	9504
