class	name	seed	damage
eca	rule 0	0	0
eca	rule 0	0	0
eca	rule 0	0	0
eca	rule 0	0	0
eca	rule 0	0	0
eca	rule 0	0	0
eca	rule 0	0	0
eca	rule 0	0	0
eca	rule 0	0	0
eca	rule 0	0	0
eca	rule 0	1	0
eca	rule 0	1	0
eca	rule 0	1	0
eca	rule 0	1	0
eca	rule 0	1	0
eca	rule 0	1	0
eca	rule 0	1	0
eca	rule 0	1	0
eca	rule 0	1	0
eca	rule 0	1	0
eca	rule 0	2	0
eca	rule 0	2	0
eca	rule 0	2	0
eca	rule 0	2	0
eca	rule 0	2	0
eca	rule 0	2	0
eca	rule 0	2	0
eca	rule 0	2	0
eca	rule 0	2	0
eca	rule 0	2	0
eca	rule 0	3	0
eca	rule 0	3	0
eca	rule 0	3	0
eca	rule 0	3	0
eca	rule 0	3	0
eca	rule 0	3	0
eca	rule 0	3	0
eca	rule 0	3	0
eca	rule 0	3	0
eca	rule 0	3	0
eca	rule 204	0	1
eca	rule 204	0	1
eca	rule 204	0	1
eca	rule 204	0	1
eca	rule 204	0	1
eca	rule 204	0	1
eca	rule 204	0	1
eca	rule 204	0	1
eca	rule 204	0	1
eca	rule 204	0	1
eca	rule 204	1	1
eca	rule 204	1	1
eca	rule 204	1	1
eca	rule 204	1	1
eca	rule 204	1	1
eca	rule 204	1	1
eca	rule 204	1	1
eca	rule 204	1	1
eca	rule 204	1	1
eca	rule 204	1	1
eca	rule 204	2	1
eca	rule 204	2	1
eca	rule 204	2	1
eca	rule 204	2	1
eca	rule 204	2	1
eca	rule 204	2	1
eca	rule 204	2	1
eca	rule 204	2	1
eca	rule 204	2	1
eca	rule 204	2	1
eca	rule 204	3	1
eca	rule 204	3	1
eca	rule 204	3	1
eca	rule 204	3	1
eca	rule 204	3	1
eca	rule 204	3	1
eca	rule 204	3	1
eca	rule 204	3	1
eca	rule 204	3	1
eca	rule 204	3	1
eca	rule 90	0	8
eca	rule 90	0	8
eca	rule 90	0	8
eca	rule 90	0	8
eca	rule 90	0	8
eca	rule 90	0	8
eca	rule 90	0	8
eca	rule 90	0	8
eca	rule 90	0	8
eca	rule 90	0	8
eca	rule 90	1	8
eca	rule 90	1	8
eca	rule 90	1	8
eca	rule 90	1	8
eca	rule 90	1	8
eca	rule 90	1	8
eca	rule 90	1	8
eca	rule 90	1	8
eca	rule 90	1	8
eca	rule 90	1	8
eca	rule 90	2	8
eca	rule 90	2	8
eca	rule 90	2	8
eca	rule 90	2	8
eca	rule 90	2	8
eca	rule 90	2	8
eca	rule 90	2	8
eca	rule 90	2	8
eca	rule 90	2	8
eca	rule 90	2	8
eca	rule 90	3	8
eca	rule 90	3	8
eca	rule 90	3	8
eca	rule 90	3	8
eca	rule 90	3	8
eca	rule 90	3	8
eca	rule 90	3	8
eca	rule 90	3	8
eca	rule 90	3	8
eca	rule 90	3	8
eca	rule 54	0	22
eca	rule 54	0	29
eca	rule 54	0	1
eca	rule 54	0	34
eca	rule 54	0	24
eca	rule 54	0	32
eca	rule 54	0	21
eca	rule 54	0	2
eca	rule 54	0	18
eca	rule 54	0	18
eca	rule 54	1	10
eca	rule 54	1	17
eca	rule 54	1	36
eca	rule 54	1	24
eca	rule 54	1	10
eca	rule 54	1	11
eca	rule 54	1	15
eca	rule 54	1	22
eca	rule 54	1	14
eca	rule 54	1	27
eca	rule 54	2	18
eca	rule 54	2	42
eca	rule 54	2	6
eca	rule 54	2	27
eca	rule 54	2	0
eca	rule 54	2	9
eca	rule 54	2	18
eca	rule 54	2	17
eca	rule 54	2	4
eca	rule 54	2	34
eca	rule 54	3	14
eca	rule 54	3	0
eca	rule 54	3	13
eca	rule 54	3	18
eca	rule 54	3	31
eca	rule 54	3	18
eca	rule 54	3	37
eca	rule 54	3	27
eca	rule 54	3	7
eca	rule 54	3	5
eca	rule 110	0	0
eca	rule 110	0	16
eca	rule 110	0	0
eca	rule 110	0	20
eca	rule 110	0	0
eca	rule 110	0	18
eca	rule 110	0	21
eca	rule 110	0	14
eca	rule 110	0	21
eca	rule 110	0	25
eca	rule 110	1	22
eca	rule 110	1	16
eca	rule 110	1	28
eca	rule 110	1	23
eca	rule 110	1	28
eca	rule 110	1	12
eca	rule 110	1	12
eca	rule 110	1	33
eca	rule 110	1	3
eca	rule 110	1	25
eca	rule 110	2	24
eca	rule 110	2	6
eca	rule 110	2	6
eca	rule 110	2	22
eca	rule 110	2	27
eca	rule 110	2	28
eca	rule 110	2	16
eca	rule 110	2	14
eca	rule 110	2	24
eca	rule 110	2	0
eca	rule 110	3	27
eca	rule 110	3	23
eca	rule 110	3	20
eca	rule 110	3	23
eca	rule 110	3	3
eca	rule 110	3	3
eca	rule 110	3	11
eca	rule 110	3	32
eca	rule 110	3	10
eca	rule 110	3	11
eca	rule 30	0	44
eca	rule 30	0	34
eca	rule 30	0	39
eca	rule 30	0	30
eca	rule 30	0	43
eca	rule 30	0	38
eca	rule 30	0	42
eca	rule 30	0	33
eca	rule 30	0	49
eca	rule 30	0	39
eca	rule 30	1	41
eca	rule 30	1	45
eca	rule 30	1	53
eca	rule 30	1	44
