gamma	seed	site	mass
0.0000	1	0	0
0.0000	1	1	0
0.0000	1	2	0
0.0000	1	3	0
0.0000	1	4	0
0.0000	1	5	0
0.0000	1	6	0
0.0000	1	7	0
0.0000	1	8	0
0.0000	1	9	0
0.0000	1	10	0
0.0000	1	11	0
0.0000	1	12	0
0.0000	1	13	0
0.0000	1	14	0
0.0000	1	15	0
0.0000	1	16	0
0.0000	1	17	0
0.0000	1	18	0
0.0000	1	19	0
0.0000	1	20	0
0.0000	1	21	0
0.0000	1	22	0
0.0000	1	23	0
0.0000	1	24	0
0.0000	1	25	0
0.0000	1	26	0
0.0000	1	27	0
0.0000	1	28	0
0.0000	1	29	0
0.0000	1	30	0
0.0000	1	31	0
0.0000	1	32	0
0.0000	1	33	0
0.0000	1	34	0
0.0000	1	35	0
0.0000	1	36	0
0.0000	1	37	0
0.0000	1	38	0
0.0000	1	39	3
0.0000	1	40	0
0.0000	1	41	0
0.0000	1	42	0
0.0000	1	43	0
0.0000	1	44	0
0.0000	1	45	9
0.0000	1	46	0
0.0000	1	47	5
0.0000	1	48	0
0.0000	1	49	2
0.0000	1	50	9
0.0000	1	51	9
0.0000	1	52	0
0.0000	1	53	0
0.0000	1	54	5
0.0000	1	55	0
0.0000	1	56	7
0.0000	1	57	0
0.0000	1	58	0
0.0000	1	59	0
0.0000	1	60	0
0.0000	1	61	0
0.0000	1	62	0
0.0000	1	63	0
0.0000	1	64	0
0.0000	1	65	0
0.0000	1	66	0
0.0000	1	67	0
0.0000	1	68	0
0.0000	1	69	0
0.0000	1	70	0
0.0000	1	71	0
0.0000	1	72	0
0.0000	1	73	0
0.0000	1	74	0
0.0000	1	75	0
0.0000	1	76	0
0.0000	1	77	0
0.0000	1	78	0
0.0000	1	79	0
0.0000	2	0	0
0.0000	2	1	0
0.0000	2	2	0
0.0000	2	3	0
0.0000	2	4	0
0.0000	2	5	0
0.0000	2	6	0
0.0000	2	7	0
0.0000	2	8	0
0.0000	2	9	0
0.0000	2	10	0
0.0000	2	11	0
0.0000	2	12	0
0.0000	2	13	0
0.0000	2	14	2
0.0000	2	15	0
0.0000	2	16	2
0.0000	2	17	0
0.0000	2	18	0
0.0000	2	19	0
0.0000	2	20	0
0.0000	2	21	0
0.0000	2	22	0
0.0000	2	23	0
0.0000	2	24	0
0.0000	2	25	0
0.0000	2	26	0
0.0000	2	27	0
0.0000	2	28	0
0.0000	2	29	0
0.0000	2	30	0
0.0000	2	31	0
0.0000	2	32	0
0.0000	2	33	0
0.0000	2	34	0
0.0000	2	35	0
0.0000	2	36	0
0.0000	2	37	0
0.0000	2	38	0
0.0000	2	39	0
0.0000	2	40	0
0.0000	2	41	0
0.0000	2	42	0
0.0000	2	43	0
0.0000	2	44	0
0.0000	2	45	0
0.0000	2	46	0
0.0000	2	47	0
0.0000	2	48	0
0.0000	2	49	0
0.0000	2	50	0
0.0000	2	51	0
0.0000	2	52	0
0.0000	2	53	0
0.0000	2	54	0
0.0000	2	55	0
0.0000	2	56	0
0.0000	2	57	0
0.0000	2	58	0
0.0000	2	59	0
0.0000	2	60	0
0.0000	2	61	2
0.0000	2	62	5
0.0000	2	63	0
0.0000	2	64	5
0.0000	2	65	0
0.0000	2	66	0
0.0000	2	67	0
0.0000	2	68	7
0.0000	2	69	0
0.0000	2	70	8
0.0000	2	71	10
0.0000	2	72	6
0.0000	2	73	3
0.0000	2	74	9
0.0000	2	75	0
0.0000	2	76	0
0.0000	2	77	0
0.0000	2	78	0
0.0000	2	79	0
0.0000	3	0	0
0.0000	3	1	0
0.0000	3	2	0
0.0000	3	3	0
0.0000	3	4	0
0.0000	3	5	0
0.0000	3	6	0
0.0000	3	7	0
0.0000	3	8	0
0.0000	3	9	0
0.0000	3	10	0
0.0000	3	11	0
0.0000	3	12	8
0.0000	3	13	8
0.0000	3	14	8
0.0000	3	15	7
